isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM5604522
FALSE	e	NA	NA	GSM5604523
FALSE	e	NA	NA	GSM5604524
FALSE	e	NA	NA	GSM5604525
FALSE	e	NA	NA	GSM5604526
FALSE	e	NA	NA	GSM5604527
FALSE	e	NA	NA	GSM5604528
FALSE	e	NA	NA	GSM5604529
FALSE	e	NA	NA	GSM5604530
FALSE	e	NA	NA	GSM5604531
FALSE	e	NA	NA	GSM5604532
FALSE	e	NA	NA	GSM5604533
FALSE	e	NA	NA	GSM5604534
FALSE	e	NA	NA	GSM5604535
FALSE	e	NA	NA	GSM5604536
FALSE	e	NA	NA	GSM5604537
FALSE	e	NA	NA	GSM5604538
FALSE	e	NA	NA	GSM5604539
FALSE	e	NA	NA	GSM5604540
FALSE	e	NA	NA	GSM5604541
FALSE	e	NA	NA	GSM5604542
FALSE	e	NA	NA	GSM5604543
FALSE	e	NA	NA	GSM5604544
FALSE	e	NA	NA	GSM5604545
FALSE	e	NA	NA	GSM5604546
FALSE	e	NA	NA	GSM5604547
FALSE	e	NA	NA	GSM5604548
FALSE	e	NA	NA	GSM5604549
FALSE	e	NA	NA	GSM5604550
FALSE	e	NA	NA	GSM5604551
FALSE	e	NA	NA	GSM5604552
FALSE	e	NA	NA	GSM5604553
FALSE	e	NA	NA	GSM5604554
FALSE	e	NA	NA	GSM5604555
FALSE	e	NA	NA	GSM5604556
FALSE	e	NA	NA	GSM5604557
FALSE	e	NA	NA	GSM5604558
FALSE	e	NA	NA	GSM5604559
FALSE	e	NA	NA	GSM5604560
FALSE	e	NA	NA	GSM5604561
FALSE	e	NA	NA	GSM5604562
FALSE	e	NA	NA	GSM5604563
FALSE	e	NA	NA	GSM5604564
FALSE	e	NA	NA	GSM5604565
FALSE	e	NA	NA	GSM5604566
FALSE	e	NA	NA	GSM5604567
FALSE	e	NA	NA	GSM5604568
FALSE	e	NA	NA	GSM5604569
FALSE	e	NA	NA	GSM5604570
FALSE	e	NA	NA	GSM5604571
FALSE	e	NA	NA	GSM5604572
FALSE	e	NA	NA	GSM5604573
FALSE	e	NA	NA	GSM5604574
FALSE	e	NA	NA	GSM5604575
FALSE	e	NA	NA	GSM5604576
FALSE	e	NA	NA	GSM5604577
FALSE	e	NA	NA	GSM5604578
FALSE	e	NA	NA	GSM5604579
FALSE	e	NA	NA	GSM5604580
FALSE	e	NA	NA	GSM5604581
FALSE	e	NA	NA	GSM5604582
FALSE	e	NA	NA	GSM5604583
FALSE	e	NA	NA	GSM5604584
